id,ndvi,fecha
14,0.1092784,2020-10-30T00:00:00Z
14,0.1140741,2020-11-09T00:00:00Z
14,0.119186,2020-11-24T00:00:00Z
14,0.1298077,2020-11-29T00:00:00Z
15,0.1681856,2020-09-10T00:00:00Z
15,0.2789916,2020-09-20T00:00:00Z
15,0.1335689,2020-10-10T00:00:00Z
15,0.1334731,2020-10-15T00:00:00Z
15,0.1183946,2020-10-20T00:00:00Z
15,0.1753425,2020-10-30T00:00:00Z
15,0.1868439,2020-11-09T00:00:00Z
15,0.1472651,2020-11-24T00:00:00Z
15,0.1022965,2020-11-29T00:00:00Z
16,0.2085453,2020-09-10T00:00:00Z
16,0.2379072,2020-09-20T00:00:00Z
16,0.1977124,2020-10-10T00:00:00Z
16,0.1796043,2020-10-15T00:00:00Z
16,0.1845688,2020-10-20T00:00:00Z
16,0.1553525,2020-10-30T00:00:00Z
16,0.1480804,2020-11-09T00:00:00Z
16,0.132798,2020-11-24T00:00:00Z
16,0.1374696,2020-11-29T00:00:00Z
17,0.4309859,2020-09-10T00:00:00Z
17,0.3079365,2020-09-20T00:00:00Z
17,0.2574257,2020-10-10T00:00:00Z
17,0.2730769,2020-10-15T00:00:00Z
17,0.2897884,2020-10-20T00:00:00Z
17,0.2752902,2020-10-30T00:00:00Z
17,0.3380503,2020-11-09T00:00:00Z
17,0.380035,2020-11-24T00:00:00Z
17,0.3558484,2020-11-29T00:00:00Z
18,0.3316129,2020-09-10T00:00:00Z
18,0.3031359,2020-09-20T00:00:00Z
18,0.3048544,2020-10-10T00:00:00Z
18,0.3004926,2020-10-15T00:00:00Z
18,0.27378,2020-10-20T00:00:00Z
18,0.2597911,2020-10-30T00:00:00Z
18,0.1753813,2020-11-09T00:00:00Z
18,0.1421189,2020-11-24T00:00:00Z
18,0.1040236,2020-11-29T00:00:00Z
19,0.1358025,2020-09-10T00:00:00Z
19,0.1469243,2020-09-20T00:00:00Z
19,0.1129178,2020-10-10T00:00:00Z
19,0.1477378,2020-10-15T00:00:00Z
19,0.1198922,2020-10-20T00:00:00Z
19,0.1581794,2020-10-30T00:00:00Z
19,0.1285211,2020-11-09T00:00:00Z
19,0.2073465,2020-11-24T00:00:00Z
19,0.1433644,2020-11-29T00:00:00Z
20,0.2833078,2020-09-10T00:00:00Z
20,0.1675338,2020-09-20T00:00:00Z
20,0.073509,2020-10-10T00:00:00Z
20,0.1761323,2020-10-15T00:00:00Z
20,0.1006623,2020-10-20T00:00:00Z
20,0.0791717,2020-10-30T00:00:00Z
20,0.1261364,2020-11-09T00:00:00Z
20,0.1543841,2020-11-24T00:00:00Z
20,0.1490459,2020-11-29T00:00:00Z
21,0.0896478,2020-09-10T00:00:00Z
21,0.1006382,2020-09-20T00:00:00Z
21,0.0650022,2020-10-10T00:00:00Z
21,0.112809,2020-10-15T00:00:00Z
21,0.0595089,2020-10-20T00:00:00Z
21,0.0646921,2020-10-30T00:00:00Z
21,0.0704023,2020-11-09T00:00:00Z
21,0.1454052,2020-11-24T00:00:00Z
21,0.071953,2020-11-29T00:00:00Z
22,0.2984389,2020-09-10T00:00:00Z
22,0.2875536,2020-09-20T00:00:00Z
22,0.24375,2020-10-10T00:00:00Z
22,0.2073864,2020-10-15T00:00:00Z
22,0.2685116,2020-10-20T00:00:00Z
22,0.2626932,2020-10-30T00:00:00Z
22,0.2897328,2020-11-09T00:00:00Z
22,0.2435991,2020-11-24T00:00:00Z
22,0.2324094,2020-11-29T00:00:00Z
23,0.2296891,2020-09-10T00:00:00Z
23,0.2198444,2020-09-20T00:00:00Z
23,0.259318,2020-10-10T00:00:00Z
23,0.2678063,2020-10-15T00:00:00Z
23,0.2590217,2020-10-20T00:00:00Z
23,0.2432432,2020-10-30T00:00:00Z
23,0.2613139,2020-11-09T00:00:00Z
23,0.1897151,2020-11-24T00:00:00Z
23,0.1847469,2020-11-29T00:00:00Z
24,0.3181818,2020-09-10T00:00:00Z
24,0.2866557,2020-09-20T00:00:00Z
24,0.2278211,2020-10-10T00:00:00Z
24,0.1690821,2020-10-15T00:00:00Z
24,0.1499158,2020-10-20T00:00:00Z
24,0.1223227,2020-10-30T00:00:00Z
24,0.1256591,2020-11-09T00:00:00Z
24,0.0840727,2020-11-24T00:00:00Z
24,0.1090526,2020-11-29T00:00:00Z
25,0.3033708,2020-09-10T00:00:00Z
25,0.2576897,2020-09-20T00:00:00Z
25,0.2810526,2020-10-10T00:00:00Z
25,0.2623646,2020-10-15T00:00:00Z
25,0.2401592,2020-10-20T00:00:00Z
25,0.1551459,2020-10-30T00:00:00Z
25,0.1425494,2020-11-09T00:00:00Z
25,0.1197936,2020-11-24T00:00:00Z
25,0.1438228,2020-11-29T00:00:00Z
26,0.1036145,2020-09-10T00:00:00Z
26,0.0611303,2020-09-20T00:00:00Z
26,0.0807453,2020-10-10T00:00:00Z
26,0.0830433,2020-10-15T00:00:00Z
26,0.0912779,2020-10-20T00:00:00Z
26,0.0895596,2020-10-30T00:00:00Z
26,0.0969267,2020-11-09T00:00:00Z
26,0.1108996,2020-11-24T00:00:00Z
26,0.1168582,2020-11-29T00:00:00Z
27,0.2888889,2020-09-10T00:00:00Z
27,0.2906793,2020-09-20T00:00:00Z
27,0.225018,2020-10-10T00:00:00Z
27,0.1830508,2020-10-15T00:00:00Z
27,0.1827089,2020-10-20T00:00:00Z
27,0.1183463,2020-10-30T00:00:00Z
27,0.0785882,2020-11-09T00:00:00Z
27,0.1264142,2020-11-24T00:00:00Z
27,0.0700046,2020-11-29T00:00:00Z
28,0.430137,2020-09-10T00:00:00Z
28,0.4226804,2020-09-20T00:00:00Z
28,0.4157303,2020-10-10T00:00:00Z
28,0.3624679,2020-10-15T00:00:00Z
28,0.3139535,2020-10-20T00:00:00Z
28,0.2884125,2020-10-30T00:00:00Z
28,0.1638009,2020-11-09T00:00:00Z
28,0.2582846,2020-11-24T00:00:00Z
28,0.2292546,2020-11-29T00:00:00Z
29,0.322335,2020-09-10T00:00:00Z
29,0.2741722,2020-09-20T00:00:00Z
29,0.3191057,2020-10-10T00:00:00Z
29,0.303001,2020-10-15T00:00:00Z
29,0.2502343,2020-10-20T00:00:00Z
29,0.2589928,2020-10-30T00:00:00Z
29,0.1589242,2020-11-09T00:00:00Z
29,0.2170213,2020-11-24T00:00:00Z
29,0.2491525,2020-11-29T00:00:00Z
30,0.1256281,2020-09-10T00:00:00Z
30,0.2172573,2020-09-20T00:00:00Z
30,0.3534379,2020-10-10T00:00:00Z
30,0.2749004,2020-10-15T00:00:00Z
30,0.3089343,2020-10-20T00:00:00Z
30,0.303186,2020-10-30T00:00:00Z
30,0.306968,2020-11-09T00:00:00Z
30,0.201626,2020-11-24T00:00:00Z
30,0.2208437,2020-11-29T00:00:00Z
31,0.5278195,2020-09-10T00:00:00Z
31,0.6186186,2020-09-20T00:00:00Z
31,0.4633508,2020-10-10T00:00:00Z
31,0.3802817,2020-10-15T00:00:00Z
31,0.477551,2020-10-20T00:00:00Z
31,0.4763552,2020-10-30T00:00:00Z
31,0.4704595,2020-11-09T00:00:00Z
31,0.5017626,2020-11-24T00:00:00Z
31,0.5011494,2020-11-29T00:00:00Z
32,0.3774834,2020-09-10T00:00:00Z
32,0.3604396,2020-09-20T00:00:00Z
32,0.2870608,2020-10-10T00:00:00Z
32,0.3053312,2020-10-15T00:00:00Z
32,0.3549488,2020-10-20T00:00:00Z
32,0.3235053,2020-10-30T00:00:00Z
32,0.3861224,2020-11-09T00:00:00Z
32,0.4046997,2020-11-24T00:00:00Z
32,0.4223764,2020-11-29T00:00:00Z
33,0.357331,2020-09-10T00:00:00Z
33,0.3781223,2020-09-20T00:00:00Z
33,0.2936709,2020-10-10T00:00:00Z
33,0.2294713,2020-10-15T00:00:00Z
33,0.219641,2020-10-20T00:00:00Z
33,0.2204568,2020-10-30T00:00:00Z
33,0.2193273,2020-11-09T00:00:00Z
33,0.1494755,2020-11-24T00:00:00Z
33,0.1710119,2020-11-29T00:00:00Z
34,0.3800623,2020-09-10T00:00:00Z
34,0.3129252,2020-09-20T00:00:00Z
34,0.3180077,2020-10-10T00:00:00Z
34,0.2429752,2020-10-15T00:00:00Z
34,0.3022026,2020-10-20T00:00:00Z
34,0.2439024,2020-10-30T00:00:00Z
34,0.2740943,2020-11-09T00:00:00Z
34,0.2623669,2020-11-24T00:00:00Z
34,0.2382134,2020-11-29T00:00:00Z
35,0.2371342,2020-09-10T00:00:00Z
35,0.2384937,2020-09-20T00:00:00Z
35,0.2396694,2020-10-10T00:00:00Z
35,0.3809898,2020-10-15T00:00:00Z
35,0.2655198,2020-10-20T00:00:00Z
35,0.2352941,2020-10-30T00:00:00Z
35,0.2290076,2020-11-09T00:00:00Z
35,0.236927,2020-11-24T00:00:00Z
35,0.1709091,2020-11-29T00:00:00Z
36,0.0968703,2020-09-10T00:00:00Z
36,0.1206657,2020-09-20T00:00:00Z
36,0.1397436,2020-10-10T00:00:00Z
36,0.1089337,2020-10-15T00:00:00Z
36,0.1445358,2020-10-20T00:00:00Z
36,0.1098961,2020-10-30T00:00:00Z
36,0.0980203,2020-11-09T00:00:00Z
36,0.0613145,2020-11-24T00:00:00Z
36,0.0788852,2020-11-29T00:00:00Z
37,0.1729819,2020-09-10T00:00:00Z
37,0.1778523,2020-09-20T00:00:00Z
37,0.1475904,2020-10-10T00:00:00Z
37,0.2076866,2020-10-15T00:00:00Z
37,0.1784414,2020-10-20T00:00:00Z
37,0.179941,2020-10-30T00:00:00Z
37,0.1906077,2020-11-09T00:00:00Z
37,0.1793358,2020-11-24T00:00:00Z
37,0.1667801,2020-11-29T00:00:00Z
38,0.1683168,2020-09-10T00:00:00Z
38,0.2416938,2020-09-20T00:00:00Z
38,0.1160164,2020-10-10T00:00:00Z
38,0.1781701,2020-10-15T00:00:00Z
38,0.156639,2020-10-20T00:00:00Z
38,0.1158507,2020-10-30T00:00:00Z
38,0.1246612,2020-11-09T00:00:00Z
38,0.1199197,2020-11-24T00:00:00Z
38,0.1036415,2020-11-29T00:00:00Z
39,0.3773774,2020-09-10T00:00:00Z
39,0.3846881,2020-09-20T00:00:00Z
39,0.286033,2020-10-10T00:00:00Z
39,0.1374408,2020-10-15T00:00:00Z
39,0.1767489,2020-10-20T00:00:00Z
39,0.0915877,2020-10-30T00:00:00Z
39,0.0918919,2020-11-09T00:00:00Z
39,0.0414469,2020-11-24T00:00:00Z
39,0.0716864,2020-11-29T00:00:00Z
40,0.2286689,2020-09-10T00:00:00Z
40,0.2556591,2020-09-20T00:00:00Z
40,0.3319672,2020-10-10T00:00:00Z
